databaseId	type	name	rewardText	mainText	hitPoints	cost	attack	resources	force	cardBack	traits	flavorText	targetValue	unique	imageUrl	quantity	faction
g10	Unit	U-Wing	Reward: Gain 4 [resource].	If the Force is with you, repair 3 damage from your base.	4	4		3		card	Transport.		4	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g10.png	2	Rebel
g11	Unit	Han Solo	Reward: Gain 3 [resource] and 2 [force]	Draw 1 card (2 cards instead if you have the Millennium Falcon in play).	5	5	3	2		card	Scoundrel.	You know, sometimes I amaze even myself.	5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g11.png	1	Rebel
g12	Unit	Cassian Andor	Reward: Gain 3 [resource] and 2 [force].	When Cassian Andor defeats a target in the galaxy row, your opponent discards 1 card from their hand.	5	5	5			card	Trooper.		5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g12.png	1	Rebel
g13	Unit	B-Wing	Reward: Exile up to 2 cards from your hand or discard pile.	Your opponent must choose: Either they discard 1 card from their hand, or this unit gains 2 [attack].	5	5	5			card	Fighter.		5	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g13.png	2	Rebel
g14	Unit	Princess Leia	Reward: Gain 3 [resource] and 3 [force].	Purchase a Rebel card from the galaxy row for free. If the Force is with you, place that card on top of your deck.	6	6	2	2	2	card	Officer.		9	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g14.png	1	Rebel
g15	Unit	Millennium Falcon	Reward: Purchase a card of your faction for free.	Add a unique ([unique]) unit from your discard pile to your hand.	7	7	5	2		card	Transport.		7	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g15.png	1	Rebel
g16	Unit	Luke Skywalker	Reward: Gain 4 [resource] and 4 [force].	If the Force is with you, destroy a capital ship your opponent has in play.	8	8	6		2	card	Jedi.	I am a Jedi, like my father before me.	8	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g16.png	1	Rebel
g17	Unit	Tie Fighter	Reward: Gain 1 [resource].	If you have a capital ship in play, draw 1 card.	1	1	2			card	Fighter.	Fighters coming in! – Lando Calrissian	1	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g17.png	3	Empire
g18	Unit	Admiral Piett	Reward: Gain 1 [force].	While Admiral Piett is in play, each of your capital ships gains 1 [attack].	2	2	2			card	Officer.	Intensify forward firepower!	2	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g18.png	1	Empire
g19	Unit	Tie Bomber	Reward: Exile 1 card from your hand or discard pile.	Discard 1 card from the galaxy row.	2	2	2			card	Fighter.	TIE bombers carry enough firepower to destroy virtually any target.	2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g19.png	2	Empire
g2	Unit	Baze Malbus	Reward: Gain 1 [force]	Baze Malbus gains 1 [attack] for each Rebel base in your opponent's victory pile.	2	2	2			card	Trooper.	You don't look happy.	2	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g2.png	1	Rebel
g20	Unit	Scout Trooper	Reward: Exile a card from your hand or discard pile.	Reveal the top card of the galaxy deck. If it is an Empire card, gain 1 [resource]. If it is an enemy card, discard it.	2	2		2		card	Trooper.		2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g20.png	2	Empire
g21	Unit	Death Trooper	Reward: Gain 2 [force].	While the Force is with you, this unit gains 2 [attack].	3	3	3			card	Trooper.		3	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g21.png	2	Empire
g22	Unit	Tie Interceptor	Reward: Gain 3 [resource].	Reveal the top card of the galaxy deck. If it is an Empire card, draw 1 card. If it is an enemy card, discard it.	3	3	3			card	Fighter.		3	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g22.png	2	Empire
g23	Unit	Moff Jerjerrod	Reward: Gain 3 [force].	Look at the top card of the galaxy deck. If the Force is with you, you may swap that card with a card from the galaxy row.	4	4	2	2		card	Officer.		4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g23.png	1	Empire
g24	Unit	General Veers	Reward: Gain 3 [force].	If you have a Trooper or Vehicle in play, draw 1 card.	4	4	4			card	Officer.	Target, maximum firepower!	4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g24.png	1	Empire
g25	Unit	AT-ST	Reward: Exile up to 2 cards from your hand or discard pile.	Discard 1 card from the galaxy row.	4	4	4			card	Vehicle.	Equipped with two chin-mounted blaster cannons, the Imperial AT-ST obliterates targets at range.	4	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g25.png	2	Empire
g26	Unit	Landing Craft	Reward: Gain 4 [resource].	Choose: Gain 4 [resource], or repair 4 damage from your base.	4	4				card	Transport.		4	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g26.png	2	Empire
g27	Unit	Director Krennic	Reward: Gain 3 [resource] and 2 [force].	Draw 1 card (2 cards instead if your base is the Death Star).	5	5	3	2		card	Officer.	We stand here amidst my achievement, not yours!	5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g27.png	1	Empire
g28	Unit	Boba Fett	Reward: Gain 3 [resource] and 2 [force].	When Boba Fett defeats a target in the galaxy row, draw 1 card.	5	5	5			card	Bounty Hunter.	He's no good to me dead.	5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g28.png	1	Empire
g29	Unit	AT-AT	Reward: Purchase a card of your faction for free.	Add a Trooper from your discard pile to your hand.	6	6	6			card	Vehicle.		9	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g29.png	1	Empire
g3	Unit	Snowspeeder	Reward: Exile 1 card from your hand or discard pile.	Your opponent discards 1 card from their hand.	2	2	2			card	Vehicle.	“Watch that crossfire, boys!” – Luke Skywalker		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g3.png	2	Rebel
g30	Unit	Grand Moff Tarkin	Reward: Gain 3 [resource] and 3 [force].	Add an Empire card from the galaxy row to your hand. You must exile that card at the end of your turn.	6	6	2	2	2	card	Officer.		9	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g30.png	1	Empire
g31	Unit	Darth Vader	Reward: Gain 4 [resource] and 4 [force].	While the Force is with you, Darth Vader gains 4 [attack].	8	8	6		2	card	Sith.	You don't know the power of the dark side.	8	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g31.png	1	Empire
g32	Unit	Z-95 Headhunter		If your opponent has a capital ship in play, draw 1 card.		1	2			card	Fighter.	While considered outdated by modern standards, the Z-95 is still deployed by many factions across the galaxy.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g32.png	2	Neutral
g33	Unit	Jawa Scavenger		Exile this unit to purchase a card from the galaxy discard pile as if it were in the galaxy row.		1		2		card		Utinni!		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g33.png	2	Neutral
g34	Unit	Kel Dor Mystic		Exile this unit to exile 1 card from your hand or discard pile.		2			2	card		Some Force users choose to live in exile to hide their special abilities.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g34.png	2	Neutral
g35	Unit	Rodian Gunslinger		This unit gains 2 [attack] while attacking a target in the galaxy row.		2	2			card	Bounty Hunter.	The promise of fast credits inspires gunslingers from many species to take up bounty hunting.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g35.png	2	Neutral
g36	Unit	Lobot		When you play Lobot, choose: He gains 2 [attack], 2 [resource], or 2 [force] this turn.		3				card	Officer.	Lobot's cybernetic implant can interface directly with Cloud City's central network, allowing him to respond quickly to any situation.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g36.png	1	Neutral
g37	Unit	Bossk		When Bossk defeats a target in the galaxy row, gain 1 [resource].		3	3			card	Bounty Hunter.	Trandoshans are renowned hunters. For members of Bossk’s species, the hunt is a spiritual rite of passage.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g37.png	1	Neutral
g38	Unit	Fang Fighter		When you purchase this unit, add it to your hand (and draw 1 card if the Force is with you).		3	3			card	Fighter.	The Mandalorian Fang Fighter is a fast and highly maneuverable starfighter built specifically for dogfighting.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g38.png	2	Neutral
g39	Unit	Twi'lek Smuggler		Place the next card you purchase this turn on top of your deck.		3		3		card	Scoundrel.	Every faction in the Outer Rim employs smugglers to help them acquire the goods they need, legal or otherwise.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g39.png	2	Neutral
g40	Unit	Dengar		When Dengar defeats a target in the galaxy row, gain 2 [resource].		4	4			card	Bounty Hunter.	A dangerous and successful bounty hunter, Dengar demands a high price for his services.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g40.png	1	Neutral
g41	Unit	Quarren Mercenary		When you purchase this unit, exile 1 card from your hand or discard pile (up to 2 cards instead if the Force is with you).		4	4			card	Trooper.	Soldiers in the Outer Rim will work for any faction, so long as the pay is good.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g41.png	2	Neutral
g42	Unit	HWK-290		Exile this unit to repair 4 damage from your base.		4		4		card	Transport.	The fast HWK-290 is favored by smugglers who specialize in transporting essential goods to dangerous places.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g42.png	2	Neutral
g43	Unit	IG-88		When IG-88 defeats a target in the galaxy row, exile 1 card from your hand or discard pile.		5	5			card	Bounty Hunter. Droid.	Programmed as an independent assassin droid, IG-88 became a feared bounty hunter.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g43.png	1	Neutral
g44	Unit	Lando Calrissian		Draw 1 card. If the Force is with you, your opponent discards 1 card from their hand.		6	3	3		card	Scoundrel.	This deal is getting worse all the time.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g44.png	1	Neutral
g45	Unit	Jabba's Sail Barge		Add a Bounty Hunter from your discard pile to your hand.		7	4	3		card	Vehicle.	Jabba the Hutt uses his massive sail barge to travel the Dune Sea and host parties.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g45.png	1	Neutral
g46	Unit	Jabba The Hutt		Exile 1 card from your hand to draw 1 card (2 cards instead if the Force is with you).		8	2	2	2	card	Scoundrel.	I shall enjoy watching you die.		1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g46.png	1	Neutral
g4	Unit	Duros Spy	Reward: Exile 1 card from your hand or discard pile.	Your opponent must choose: Either they discard 1 card from their hand, or you gain 1 [resource].	2	2		2		card	Trooper.		2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g4.png	2	Rebel
g5	Unit	Chirrut Imwe	Reward: Gain 2 [force].	While the Force is with you, Chirrut Imwe gains 2 [attack].	3	3		2		card	Trooper.	I am one with the Force, and the Force is with me.	3	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g5.png	1	Rebel
g6	Unit	Rebel Commando	Reward: Gain 2 [force].	Your opponent discards 1 card from their hand (at random if the Force is with you).	3	3	3			card	Trooper.		3	3	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g6.png	2	Rebel
g7	Unit	X-Wing	Reward: Gain 3 [resource].	If the Force is with you, draw 1 card.	3	3	3			card	Fighter.	Lock S-foils in attack position. – Red Leader		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g7.png	3	Rebel
g8	Unit	Chewbacca	Reward: Gain 3 [force].	If you have another unique (◆) unit in play, draw 1 card.	4	4	5			card	Scoundrel.	Rwaarr!	4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g8.png	1	Rebel
g9	Unit	Jyn Erso	Reward: Gain 3 [force].	Look at your opponent's hand. If the Force is with you, place 1 card from their hand on top of their deck.	4	4	4			card	Scoundrel.		4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/g9.png	1	Rebel
ncs1	CapitalShip	C-ROC Cruiser		Discard 1 card from your hand to repair 3 damage from your base.	3	3		1		card		The C-ROC is a modified Gozanti-class cruiser used to transport goods across the Outer Rim.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ncs1.png	2	Neutral
ncs2	CapitalShip	Blockade Runner		Though designed as a diplomatic courier ship, the Corellian CR90 corvette is often used to run planetary blockades.	4	4	1	1		card				0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ncs2.png	3	Neutral
ncs3	CapitalShip	Nebulon-B Frigate		Choose: Repair 3 damage from your base, or gain 3 [resource].	5	5				card		They're heading for the medical frigate. - Wedge Antilles		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/ncs3.png	2	Neutral
orp1	Unit	Outer Rim Pilot		Exile this unit to gain 1 [force].		2		2		card		Most of the best freighter pilots are to be found here. – Obi-Wan Kenobi		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/orp1.png	10	Neutral
rb1	Base	Dantooine		Start the game with this base in play.	8					rebelBase	Rebel Outpost			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb1.png	1	Rebel
rb10	Base	Yavin 4		When your opponent discards a card from their hand during your turn, deal 2 damage to their base.	16					rebelBase	Hidden Operations.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb10.png	1	Rebel
rb2	Base	Mon Cala		When you reveal Mon Cala, purchase a Rebel or neutral card from the galaxy row for free and add it to your hand.	10					rebelBase	Industrial Strength			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb2.png	1	Rebel
rb3	Base	Dagobah		When you reveal Dagobah, exile up to 3 cards from your hand or discard pile.	12					rebelBase	Jedi Training.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb3.png	1	Rebel
rb4	Base	Bespin		When you play a neutral card for the first time each turn, draw 1 card.	14					rebelBase	Cloud City			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb4.png	1	Rebel
rb5	Base	Alderaan		When you reveal Alderaan, gain 4 [resource].	14					rebelBase	Royal Influence.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb5.png	1	Rebel
rb6	Base	Hoth		While Hoth is your base, prevent the first 2 damage dealt to Hoth each turn.	14					rebelBase	Planetary Shield.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb6.png	1	Rebel
rb7	Base	Jedha		While Jedha is your base, add the first neutral card you purchase each turn to your hand. You must exile that card at the end of your turn.	14					rebelBase	Rebel Extremists			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb7.png	1	Rebel
rb8	Base	Tatooine		When you reveal Tatooine, swap a card in the galaxy row with a Rebel card from the galaxy discard pile and gain 1 [resource].	14					rebelBase				1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb8.png	1	Rebel
rb9	Base	Sullust		While Sullust is your base, place the first card you purchase each turn on top of your deck.	16					rebelBase				1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rb9.png	1	Rebel
rcs1	CapitalShip	Rebel Transport		Choose: Repair 2 damage from your base, or gain 1 [resource].	2	2				card		The first transport is away!		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rcs1.png	2	Rebel
rcs2	CapitalShip	Hammerhead Corvette		Exile this capital ship to destroy a capital ship your opponent has in play, or an enemy capital ship in the galaxy row.	4	4		2		card		Prepare for impact! –Kado Oquoné		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rcs2.png	2	Rebel
rcs3	CapitalShip	Mon Calamari Cruiser			6	6	3			card		The Mon Calamari cruiser packs an enormous punch and is capable of going head-to-head with an Imperial Star Destroyer.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rcs3.png	2	Rebel
rs1	Unit	Alliance Shuttle				0		1		card	Transport.	Lightly armored and unarmed, Rebel supply ships typically require a fighter escort to traverse contested space.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs1.png	7	Rebel
rs2	Unit	Rebel Trooper				0	2			card	Trooper.	Drawn from various resistance cells, Rebel infantry are well-trained and highly motivated.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs2.png	2	Rebel
rs3	Unit	Temple Guardian		When you play Temple Guardian, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.		0				card	Rebel Starter	The temple guardian's mask and robes symbolize their devotion to preserving the Jedi's legacy.		0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/core_set/rs3.png	1	Rebel
quick_reference_1	Rules	Quick Reference 1								card				0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/other/quick_reference_1.jpg	1	
quick_reference_2	Rules	Quick Reference 2								card				0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/other/quick_reference_2.jpg	1	
force_tracker	Tracker	Force Tracker								tracker					https://dragncards-swdb.s3.us-east-1.amazonaws.com/other/force_tracker.png	1	
cw_g1	Unit	AAT	Exile up to 2 cards from your hand or discard pile.	Exile a Separatist card from the galaxy row. If you do, gain 2 [resource].	5	5	5			card	Vehicle.	Armored Assault Tanks wield 6 missile tubes and a heavy laser cannon to cause untold devastation.	5	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g1.png	1	Separatist
cw_g10	Unit	MTT	Gain 4 [resource].	Place the next Droid you purchase this turn on top of your deck.	4	4	1	3		card	Vehicle.	Multi-Troop Transports can carry a company of 112 battle droids into the thick of combat.	4	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g10.png	2	Separatist
cw_g11	Unit	Stap	Exile 1 card from your hand or discard pile.	If there are more enemy cards than Separatist cards in the galaxy row, gain 1 [force].	2	2		2		card	Droid.		2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g11.png	2	Separatist
cw_g12	Unit	Tri-Fighter	Gain 3 [resource].	Exile a Separatist card from the galaxy row. If you do, you may deal 3 damage to a capital ship your opponent has in play.	3	3	3			card	Droid. Fighter.		3	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g12.png	2	Separatist
cw_g13	Unit	B2 Battle Droid	Gain 1 [resource].	Exile a Separatist card from the galaxy row. If you do, draw 1 card.	1	1	2			card	Droid. Trooper.	Better armed and armored, the super battle droid outperforms its standard counterpart in most ways.	1	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g13.png	3	Separatist
cw_g14	Unit	Vulture Droid	Exile 1 card from your hand or discard pile.	When you purchase this unit, add it to your hand. After this unit attacks, you must exile this card.	2	2	2			card	Droid. Fighter.		2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g14.png	3	Separatist
cw_g15	Unit	Aayla Secura	Gain 2 [force].	While Aayla Secura is in play and the Force is with you, each of your Trooper units gains 1 [attack].	3	3	2		1	card	Jedi.		3	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g15.png	1	Republic
cw_g16	Unit	Ahsoka Tano	Gain 3 [force].	Reveal the top card of your deck. If the Force is with you, you may swap it with a card from your discard pile.	4	4	3		1	card	Jedi.		4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g16.png	1	Republic
cw_g17	Unit	Anakin Skywalker	Gain 3 [resource] and 2 [force].	While the Force is with you, Anakin Skywalker gains 3 [attack].	5	5	4		1	card	Jedi.	Some believe Anakin to be the prophesied Chosen One who will bring balance to the Force.	5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g17.png	1	Republic
cw_g18	Unit	AT-TE	Purchase a card of your faction for free.	Place another unit you have in play on top of your deck.	6	6	6			card	Vehicle.	Although they transport troops, All Terrain Tactical Enforcers are powerful tanks in their own right.	6	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g18.png	1	Republic
cw_g19	Unit	Captain Rex	Gain 2 [force].	Captain Rex gains 1 [attack] for each unique (◆) unit in play and in the galaxy row.	3	3		2		card	Trooper.		3	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g19.png	1	Republic
cw_g2	Unit	Admiral Trench	Gain 3 [resource] and 2 [force].	Draw 1 card (2 cards instead if you had a capital ship in play at the start of your turn).	5	5	3	2		card	Officer.		5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g2.png	1	Separatist
cw_g20	Unit	Clone Commander Cody	Gain 3 [force].	Place a Trooper from your discard pile on top of your deck. If the Force is with you, add it to your hand instead.	4	4	2	2		card	Trooper.		4	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g20.png	1	Republic
cw_g21	Unit	Mace Windu	Gain 4 [resource] and 4 [force].	Reveal the top card of your deck. If the Force is with you, Mace Windu gains [attack] equal to the cost of that card (to a maximum of +5 [attack]).	8	8	6		2	card	Jedi.			1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g21.png	1	Republic
cw_g22	Unit	Obi-Wan Kenobi	Gain 3 [resource] and 3 [force].	When you reveal Obi-Wan Kenobi from the top of your deck, add him to your hand and reveal the next card instead.	6	6	4		2	card	Jedi.		9	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g22.png	1	Republic
cw_g23	Unit	Padmé Amidala	Gain 3 [resource] and 2 [force].	Draw 1 card (2 cards instead if your base is Naboo).	5	5	3	2		card	Officer.	The strong-willed and courageous former queen of Naboo always selflessly helps those in need.	5	1	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g23.png	1	Republic
cw_g24	Unit	ARC-170	Exile up to 2 cards from your hand or discard pile.	Reveal the top card of your deck. If it is a Fighter or a Trooper, this unit gains 2 [attack].	4	4	4			card	Fighter.		4	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g24.png	2	Republic
cw_g25	Unit	AT-RT	Exile 1 card from your hand or discard pile.	If you have another Trooper in play, repair 2 damage from your base.	2	2	2			card	Trooper.	All Terrain Reconnaissance Transports can run up to 60 km/h.	2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g25.png	2	Republic
cw_g26	Unit	Barc Trooper	Exile 1 card from your hand or discard pile.	While you have another Trooper in play, this unit gains 2 [attack].	2	2		2		card	Trooper.	Biker Advanced Recon Commandos can quickly redeploy to where they are needed most.	2	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g26.png	2	Republic
cw_g27	Unit	Delta-7B	Gain 2 [force].	Reveal the top card of your deck. If it is a Jedi, you may draw it. If it is not, you may discard it.	3	3	3		1	card	Jedi. Fighter.		3	0	https://dragncards-swdb.s3.us-east-1.amazonaws.com/cards/clone_wars/cw_g27.png	2	Republic
